date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:41:45	52641/52641	---M--	200	added ('OK')	image/jpeg	etag:%2263e40de8-cda1%22	https://books.toscrape.com/media/cache/05/87/0587ab519222a61f803fa4570c325ad2.jpg	C:/My%20Web%20Sites/booktoscrape/books.toscrape.com/media/cache/05/87/0587ab519222a61f803fa4570c325ad2.jpg	(from https://books.toscrape.com/catalogue/private-paris-private-10_958/index.html)
11:41:45	59898/59898	---M--	200	added ('OK')	image/jpeg	etag:%2263e40de9-e9fa%22	https://books.toscrape.com/media/cache/87/a2/87a2fddd7f6b240c0351e1eb950b6716.jpg	C:/My%20Web%20Sites/booktoscrape/books.toscrape.com/media/cache/87/a2/87a2fddd7f6b240c0351e1eb950b6716.jpg	(from https://books.toscrape.com/catalogue/we-love-you-charlie-freeman_954/index.html)
11:41:45	15360/15360	---M--	200	added ('OK')	image/jpeg	etag:%2263e40de9-3c00%22	https://books.toscrape.com/media/cache/8c/54/8c54a50576c204b80165a13545f73028.jpg	C:/My%20Web%20Sites/booktoscrape/books.toscrape.com/media/cache/8c/54/8c54a50576c204b80165a13545f73028.jpg	(from https://books.toscrape.com/catalogue/thirst_946/index.html)
11:41:46	24470/24470	---M--	200	added ('OK')	image/jpeg	etag:%2263e40de8-5f96%22	https://books.toscrape.com/media/cache/29/e0/29e036acd8a6e3daa787ce2bc05bdbbb.jpg	C:/My%20Web%20Sites/booktoscrape/books.toscrape.com/media/cache/29/e0/29e036acd8a6e3daa787ce2bc05bdbbb.jpg	(from https://books.toscrape.com/catalogue/the-murder-that-never-was-forensic-instincts-5_939/index.html)
11:41:46	52235/52235	---M--	200	added ('OK')	image/jpeg	etag:%2263e40de9-cc0b%22	https://books.toscrape.com/media/cache/a3/ad/a3ade5edecde67449329c1ebb016c049.jpg	C:/My%20Web%20Sites/booktoscrape/books.toscrape.com/media/cache/a3/ad/a3ade5edecde67449329c1ebb016c049.jpg	(from https://books.toscrape.com/catalogue/tuesday-nights-in-1980_870/index.html)
11:41:46	38153/38153	---M--	200	added ('OK')	image/jpeg	etag:%2263e40de8-9509%22	https://books.toscrape.com/media/cache/34/c9/34c988a76c3cd7c04566d3030d8e7331.jpg	C:/My%20Web%20Sites/booktoscrape/books.toscrape.com/media/cache/34/c9/34c988a76c3cd7c04566d3030d8e7331.jpg	(from https://books.toscrape.com/catalogue/the-vacationers_863/index.html)
11:41:46	57660/57660	---M--	200	added ('OK')	image/jpeg	etag:%2263e40de9-e13c%22	https://books.toscrape.com/media/cache/d4/73/d473f01f077b91ce04e345305a3fa217.jpg	C:/My%20Web%20Sites/booktoscrape/books.toscrape.com/media/cache/d4/73/d473f01f077b91ce04e345305a3fa217.jpg	(from https://books.toscrape.com/catalogue/the-regional-office-is-under-attack_858/index.html)
11:41:47	57806/57806	---M--	200	added ('OK')	image/jpeg	etag:%2263e40de9-e1ce%22	https://books.toscrape.com/media/cache/76/80/76804e1881b630a110794fef5aad02cf.jpg	C:/My%20Web%20Sites/booktoscrape/books.toscrape.com/media/cache/76/80/76804e1881b630a110794fef5aad02cf.jpg	(from https://books.toscrape.com/catalogue/finders-keepers-bill-hodges-trilogy-2_807/index.html)
11:41:47	65861/65861	---M--	200	added ('OK')	image/jpeg	etag:%2263e40de8-10145%22	https://books.toscrape.com/media/cache/37/d1/37d108ff5b19028a52ddd73dba35d543.jpg	C:/My%20Web%20Sites/booktoscrape/books.toscrape.com/media/cache/37/d1/37d108ff5b19028a52ddd73dba35d543.jpg	(from https://books.toscrape.com/catalogue/the-time-keeper_766/index.html)
11:41:47	25766/25766	---M--	200	added ('OK')	image/jpeg	etag:%2263e40de8-64a6%22	https://books.toscrape.com/media/cache/06/a6/06a62270c0700ae3c537cf394cf145ee.jpg	C:/My%20Web%20Sites/booktoscrape/books.toscrape.com/media/cache/06/a6/06a62270c0700ae3c537cf394cf145ee.jpg	(from https://books.toscrape.com/catalogue/the-testament-of-mary_765/index.html)
11:41:47	66434/66434	---M--	200	added ('OK')	image/jpeg	etag:%2263e40de9-10382%22	https://books.toscrape.com/media/cache/81/3e/813e1d11126330de52d9368e78d116cc.jpg	C:/My%20Web%20Sites/booktoscrape/books.toscrape.com/media/cache/81/3e/813e1d11126330de52d9368e78d116cc.jpg	(from https://books.toscrape.com/catalogue/the-first-hostage-jb-collins-2_749/index.html)
11:41:48	30041/30041	---M--	200	added ('OK')	image/jpeg	etag:%2263e40de9-7559%22	https://books.toscrape.com/media/cache/bd/ad/bdad8933d15df7d7c6f3a16a9315048b.jpg	C:/My%20Web%20Sites/booktoscrape/books.toscrape.com/media/cache/bd/ad/bdad8933d15df7d7c6f3a16a9315048b.jpg	(from https://books.toscrape.com/catalogue/take-me-with-you_741/index.html)
11:41:48	36269/36269	---M--	200	added ('OK')	image/jpeg	etag:%2263e40de9-8dad%22	https://books.toscrape.com/media/cache/a3/eb/a3ebe1ca5df0d3ff3e3d2b8fb8b2a551.jpg	C:/My%20Web%20Sites/booktoscrape/books.toscrape.com/media/cache/a3/eb/a3ebe1ca5df0d3ff3e3d2b8fb8b2a551.jpg	(from https://books.toscrape.com/catalogue/still-life-with-bread-crumbs_738/index.html)
11:41:48	16327/16327	---M--	200	added ('OK')	image/jpeg	etag:%2263e40de8-3fc7%22	https://books.toscrape.com/media/cache/63/62/63623a0b014b1f26e49aa61786e6e708.jpg	C:/My%20Web%20Sites/booktoscrape/books.toscrape.com/media/cache/63/62/63623a0b014b1f26e49aa61786e6e708.jpg	(from https://books.toscrape.com/catalogue/shtum_733/index.html)
11:41:48	21973/21973	---M--	200	added ('OK')	image/jpeg	etag:%2263e40de8-55d5%22	https://books.toscrape.com/media/cache/28/db/28db43984c765a1d02fd3495f5c52eb6.jpg	C:/My%20Web%20Sites/booktoscrape/books.toscrape.com/media/cache/28/db/28db43984c765a1d02fd3495f5c52eb6.jpg	(from https://books.toscrape.com/catalogue/my-name-is-lucy-barton_720/index.html)
11:41:49	28852/28852	---M--	200	added ('OK')	image/jpeg	etag:%2263e40de8-70b4%22	https://books.toscrape.com/media/cache/2d/a3/2da3464fa2010bebedfba9eca77e42be.jpg	C:/My%20Web%20Sites/booktoscrape/books.toscrape.com/media/cache/2d/a3/2da3464fa2010bebedfba9eca77e42be.jpg	(from https://books.toscrape.com/catalogue/my-mrs-brown_719/index.html)
11:41:49	50847/50847	---M--	200	added ('OK')	image/jpeg	etag:%2263e40de8-c69f%22	https://books.toscrape.com/media/cache/65/7f/657f9a3b7c0579c7fa499dddddd59422.jpg	C:/My%20Web%20Sites/booktoscrape/books.toscrape.com/media/cache/65/7f/657f9a3b7c0579c7fa499dddddd59422.jpg	(from https://books.toscrape.com/catalogue/mr-mercedes-bill-hodges-trilogy-1_717/index.html)
11:41:49	71277/71277	---M--	200	added ('OK')	image/jpeg	etag:%2263e40de9-1166d%22	https://books.toscrape.com/media/cache/8d/a3/8da36f821f35b795a3a420c84ca9737e.jpg	C:/My%20Web%20Sites/booktoscrape/books.toscrape.com/media/cache/8d/a3/8da36f821f35b795a3a420c84ca9737e.jpg	(from https://books.toscrape.com/catalogue/i-am-pilgrim-pilgrim-1_703/index.html)
11:41:49	39997/39997	---M--	200	added ('OK')	image/jpeg	etag:%2263e40de8-9c3d%22	https://books.toscrape.com/media/cache/0a/9a/0a9a0b211bee87b544bd97a8320a0b73.jpg	C:/My%20Web%20Sites/booktoscrape/books.toscrape.com/media/cache/0a/9a/0a9a0b211bee87b544bd97a8320a0b73.jpg	(from https://books.toscrape.com/catalogue/eligible-the-austen-project-4_692/index.html)
11:41:50	18403/18403	---M--	200	added ('OK')	text/html	etag:%2263e40de8-47e3%22	https://books.toscrape.com/catalogue/eight-hundred-grapes_690/index.html	C:/My%20Web%20Sites/booktoscrape/books.toscrape.com/catalogue/eight-hundred-grapes_690/index.html	(from https://books.toscrape.com/catalogue/category/books/fiction_10/page-2.html)
11:41:50	11497/11497	---M--	200	added ('OK')	image/jpeg	etag:%2263e40de9-2ce9%22	https://books.toscrape.com/media/cache/8c/01/8c011092f05791961d25ec3cfcf0a832.jpg	C:/My%20Web%20Sites/booktoscrape/books.toscrape.com/media/cache/8c/01/8c011092f05791961d25ec3cfcf0a832.jpg	(from https://books.toscrape.com/catalogue/category/books/fiction_10/page-2.html)
11:41:50	19236/19236	---M--	200	added ('OK')	text/html	etag:%2263e40de8-4b24%22	https://books.toscrape.com/catalogue/dear-mr-knightley_684/index.html	C:/My%20Web%20Sites/booktoscrape/books.toscrape.com/catalogue/dear-mr-knightley_684/index.html	(from https://books.toscrape.com/catalogue/category/books/fiction_10/page-2.html)
11:41:50	12998/12998	---M--	200	added ('OK')	image/jpeg	etag:%2263e40de9-32c6%22	https://books.toscrape.com/media/cache/78/87/78873811f8c1d75a0c26d8cc8e6a9dbc.jpg	C:/My%20Web%20Sites/booktoscrape/books.toscrape.com/media/cache/78/87/78873811f8c1d75a0c26d8cc8e6a9dbc.jpg	(from https://books.toscrape.com/catalogue/category/books/fiction_10/page-2.html)
11:41:50	19920/19920	---M--	200	added ('OK')	text/html	etag:%2263e40de8-4dd0%22	https://books.toscrape.com/catalogue/cometh-the-hour-the-clifton-chronicles-6_681/index.html	C:/My%20Web%20Sites/booktoscrape/books.toscrape.com/catalogue/cometh-the-hour-the-clifton-chronicles-6_681/index.html	(from https://books.toscrape.com/catalogue/category/books/fiction_10/page-2.html)
11:41:51	9747/9747	---M--	200	added ('OK')	image/jpeg	etag:%2263e40de8-2613%22	https://books.toscrape.com/media/cache/55/11/5511a4296fbd484dcaa89c8a2d25965d.jpg	C:/My%20Web%20Sites/booktoscrape/books.toscrape.com/media/cache/55/11/5511a4296fbd484dcaa89c8a2d25965d.jpg	(from https://books.toscrape.com/catalogue/category/books/fiction_10/page-2.html)
11:41:51	18991/18991	---M--	200	added ('OK')	text/html	etag:%2263e40de8-4a2f%22	https://books.toscrape.com/catalogue/balloon-animals_665/index.html	C:/My%20Web%20Sites/booktoscrape/books.toscrape.com/catalogue/balloon-animals_665/index.html	(from https://books.toscrape.com/catalogue/category/books/fiction_10/page-2.html)
11:41:51	7501/7501	---M--	200	added ('OK')	image/jpeg	etag:%2263e40de8-1d4d%22	https://books.toscrape.com/media/cache/6e/23/6e2324cae6335e8e98c8b46597afc9a3.jpg	C:/My%20Web%20Sites/booktoscrape/books.toscrape.com/media/cache/6e/23/6e2324cae6335e8e98c8b46597afc9a3.jpg	(from https://books.toscrape.com/catalogue/category/books/fiction_10/page-2.html)
11:41:51	18722/18722	---M--	200	added ('OK')	text/html	etag:%2263e40de8-4922%22	https://books.toscrape.com/catalogue/a-man-called-ove_653/index.html	C:/My%20Web%20Sites/booktoscrape/books.toscrape.com/catalogue/a-man-called-ove_653/index.html	(from https://books.toscrape.com/catalogue/category/books/fiction_10/page-2.html)
11:41:52	10257/10257	---M--	200	added ('OK')	image/jpeg	etag:%2263e40de9-2811%22	https://books.toscrape.com/media/cache/9c/f1/9cf1f4a47b8d08909fc092e6ae598d83.jpg	C:/My%20Web%20Sites/booktoscrape/books.toscrape.com/media/cache/9c/f1/9cf1f4a47b8d08909fc092e6ae598d83.jpg	(from https://books.toscrape.com/catalogue/category/books/fiction_10/page-2.html)
11:41:52	18395/18395	---M--	200	added ('OK')	text/html	etag:%2263e40de8-47db%22	https://books.toscrape.com/catalogue/the-silent-sister-riley-macpherson-1_641/index.html	C:/My%20Web%20Sites/booktoscrape/books.toscrape.com/catalogue/the-silent-sister-riley-macpherson-1_641/index.html	(from https://books.toscrape.com/catalogue/category/books/fiction_10/page-2.html)
11:41:52	8686/8686	---M--	200	added ('OK')	image/jpeg	etag:%2263e40de8-21ee%22	https://books.toscrape.com/media/cache/30/2c/302cd9c84442e139145ec0993880d7e0.jpg	C:/My%20Web%20Sites/booktoscrape/books.toscrape.com/media/cache/30/2c/302cd9c84442e139145ec0993880d7e0.jpg	(from https://books.toscrape.com/catalogue/category/books/fiction_10/page-2.html)
